"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","41","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","51","Invalid credentials","QA|Nova Bank - Infopool","Fri Jan 23 19:04:40 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","40","Logout session successfully","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Logout","Bank Admin","",""
"Get a paginated list of reports with optional filtering","42","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","44","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","42","Get roles - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","42","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","49","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","42","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","43","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","41","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","","corporate Adjustment","",""
"","44","Create  organization","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","46","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","69","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","42","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","39","No auth - category by id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","47","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","45","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","43","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","37","Update Report","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","41","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","44","Update profile - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","42","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","43","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","99","Invalid email format","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","71","Create a New Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","49","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","45","Update Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","40","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","45","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","45","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","47","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","44","Update user - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","42","Get events - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","49","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"Create a new report","41","Create Report","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","42","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","57","Get all Issues","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","43","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","40","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","45","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","44","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a paginated list of reports with optional filtering","46","Get Reports","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","42","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","44","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","45","Health","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Health","Bank Admin","",""
"Create a new report","42","Create Report - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","41","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","48","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","43","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","46","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","45","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","56","Get Reports Stats","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","98","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","44","Search Customers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","45","Get events - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","44","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","42","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","45","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","40","No auth - managers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","50","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","44","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","44","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a specific report by ID","39","Get Report by ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","49","verifyOTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Session > verify OTP","Bank User","",""
"","48","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","41","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","43","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","45","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a specific report by ID","42","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","40","Update role status","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","42","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","50","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","45","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","53","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","55","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","47","Create roles - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","40","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","708","Successful login","QA|Nova Bank - Infopool","Fri Jan 23 19:04:40 UTC 2026","broken","Fri Jan 23 19:04:40 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","41","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","50","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","42","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","49","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","41","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","54","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","41","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","69","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","41","Get all definitions","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","41","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","","corporate Adjustment","",""
"","44","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","54","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","73","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","48","verify OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","48","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","41","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","49","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
