"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","34","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","130","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:25 GMT 2025","passed","Sun Jun 08 20:54:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","70","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","59","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","253","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","failed","Sun Jun 08 20:54:29 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","41","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","failed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","35","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","34","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","46","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","41","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","165","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 20:54:27 GMT 2025","passed","Sun Jun 08 20:54:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","46","Get Reports","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","36","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","34","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","160","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:22 GMT 2025","passed","Sun Jun 08 20:54:22 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","1433","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 20:54:15 GMT 2025","passed","Sun Jun 08 20:54:16 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","154","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","238","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:32 GMT 2025","failed","Sun Jun 08 20:54:32 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","37","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","38","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","49","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:22 GMT 2025","passed","Sun Jun 08 20:54:22 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","55","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","passed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","146","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:24 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","34","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Logout","Bank Admin","",""
"","3144","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 20:56:00 GMT 2025","passed","Sun Jun 08 20:56:03 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","37","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","54","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","122","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","35","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","170","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","passed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","52","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","542","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:25 GMT 2025","passed","Sun Jun 08 20:54:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"Update an existing report","43","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","passed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","354","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","50","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","failed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Create a new report","35","Create Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","35","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","37","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","35","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","40","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","35","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","4795","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 20:54:17 GMT 2025","passed","Sun Jun 08 20:54:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","44","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","34","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","36","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","34","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","254","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:29 GMT 2025","passed","Sun Jun 08 20:54:29 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","43","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","44","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a specific report by ID","34","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","36","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","41","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","34","No auth - category by id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","42","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","43","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 20:54:42 GMT 2025","passed","Sun Jun 08 20:54:42 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","56","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","36","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","35","Health","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Health","Bank Admin","",""
"","34","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","42","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 20:54:39 GMT 2025","passed","Sun Jun 08 20:54:39 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","852","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","passed","Sun Jun 08 20:54:39 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","45","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","128","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","failed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","34","category by id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","70","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","2208","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 20:55:54 GMT 2025","passed","Sun Jun 08 20:55:56 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","36","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","37","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Update an existing report","74","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","passed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a specific report by ID","35","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","41","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","169","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","35","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","36","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","157","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 20:56:03 GMT 2025","passed","Sun Jun 08 20:56:03 GMT 2025","","corporate Adjustment","",""
"","35","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","49","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 20:54:21 GMT 2025","passed","Sun Jun 08 20:54:22 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","45","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","34","Logout session - no session","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Logout","Bank Admin","",""
"","42","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","325","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","55","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","52","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
