"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","update role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","36","Weak password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","30","No auth - category by id","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","116","Invalid credentials","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","29","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","39","Empty current password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","32","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","29","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","38","Create  organization","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No auth - update role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","76","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","32","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","passed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","36","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Update an existing report","32","Update Report","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","passed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","38","Get events - invalid start date","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","39","Invalid email format","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","80","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","38","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","35","Get Report by ID","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","38","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","36","Update user - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","37","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Update an existing report","36","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","37","Create organization - empty description","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","76","Forgot password - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","Update profile - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","36","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","31","No auth - get user role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","37","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","33","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","31","Update Customer Comment Copy","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","30","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","88","Get all definitions","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Fetch all users","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","31","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","passed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Delete a report (soft delete)","31","Delete Report","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","31","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","41","Update profile","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","31","Update user - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","36","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","31","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","36","get user role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","45","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","36","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","37","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","29","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","36","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","35","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","35","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","35","get all category","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","37","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","Update role status","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","38","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","36","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","36","Export Report Data","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","33","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","32","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","41","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","Get all Issues","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","186","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","30","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","36","Update definition","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","35","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a specific report by ID","74","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","38","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","31","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","32","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","31","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","39","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","30","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","152","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","30","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Update an existing report","31","Update Report - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","passed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","36","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","33","Export Report Data - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","passed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","36","Add attachment to issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","36","Get events - invalid end date","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","No Auth - Update definition","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","30","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","6","New Request","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","broken","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
