"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","38","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","49","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","169","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","passed","Sun Jun 15 20:10:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","42","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3684","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 15 20:11:11 GMT 2025","passed","Sun Jun 15 20:11:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","58","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","134","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 15 20:10:47 GMT 2025","passed","Sun Jun 15 20:10:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","41","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 15 20:10:58 GMT 2025","passed","Sun Jun 15 20:10:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","passed","Sun Jun 15 20:11:01 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","40","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 15 20:10:57 GMT 2025","passed","Sun Jun 15 20:10:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","3091","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 15 20:11:15 GMT 2025","passed","Sun Jun 15 20:11:18 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","55","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","109","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 15 20:11:18 GMT 2025","passed","Sun Jun 15 20:11:18 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","49","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 15 20:10:58 GMT 2025","passed","Sun Jun 15 20:10:58 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","193","Search Customers","QA|Nova Bank - Infopool","Sun Jun 15 20:11:01 GMT 2025","passed","Sun Jun 15 20:11:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","56","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:55 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","38","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","89","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","failed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","40","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 15 20:10:57 GMT 2025","passed","Sun Jun 15 20:10:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","51","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","39","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","109","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 15 20:11:07 GMT 2025","passed","Sun Jun 15 20:11:07 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","38","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","passed","Sun Jun 15 20:11:00 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","40","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","passed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","42","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","failed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","55","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","passed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","39","Health","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Health","Bank Admin","",""
"","38","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","91","Create  organization","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","47","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","passed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","38","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","62","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","failed","Sun Jun 15 20:11:25 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","98","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","passed","Sun Jun 15 20:11:00 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","117","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 15 20:10:57 GMT 2025","passed","Sun Jun 15 20:10:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","passed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","515","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 15 20:10:55 GMT 2025","passed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","60","get user role","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","240","reset password","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","77","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","520","Successful login","QA|Nova Bank - Infopool","Sun Jun 15 20:10:46 GMT 2025","passed","Sun Jun 15 20:10:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","49","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 15 20:10:55 GMT 2025","passed","Sun Jun 15 20:10:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3098","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 15 20:11:04 GMT 2025","passed","Sun Jun 15 20:11:07 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
