"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","73","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","74","Create organization - empty mis code","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","93","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","72","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","94","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 17:49:42 GMT 2025","passed","Thu Jun 05 17:49:42 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","73","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","115","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","296","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","94","Get events - no auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","72","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","98","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","150","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","passed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:21 GMT 2025","passed","Thu Jun 05 17:49:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","75","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","103","Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 17:49:37 GMT 2025","failed","Thu Jun 05 17:49:37 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","404","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:30 GMT 2025","passed","Thu Jun 05 17:49:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","78","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","passed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","393","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:24 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","76","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","77","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","100","Update profile - Invalid file size","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","passed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","94","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 17:49:37 GMT 2025","failed","Thu Jun 05 17:49:37 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","103","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","failed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","84","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","125","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","failed","Thu Jun 05 17:49:23 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","81","No email - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:21 GMT 2025","passed","Thu Jun 05 17:49:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","104","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","82","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","125","managers","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","153","audit trail","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","2174","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 17:49:42 GMT 2025","passed","Thu Jun 05 17:49:44 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","66254","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 17:49:44 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","3193","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:34 GMT 2025","passed","Thu Jun 05 17:49:37 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","78","Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","99","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","passed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","71","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","74","Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","104","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","passed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","73","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","122","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 17:49:44 GMT 2025","passed","Thu Jun 05 17:49:44 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","74","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","74","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","223","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","passed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","79","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","78","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","passed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
