"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","39","Create Report - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","41","No auth - managers","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","42","get user role","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","39","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3153","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue May 27 14:03:38 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","45","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","40","Get Report Data - Question","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","43","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Tue May 27 14:03:38 GMT 2025","failed","Tue May 27 14:03:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","257","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","40","Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","45","No email - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","41","Create  organization","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Search Customers","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","42","Get events - invalid end date","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","41","Weak password - Change password","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","43","Search Customers","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","38","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","37","Create organization - name already exists","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","passed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","37","Get Report by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","41","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","58","Update profile","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","39","Get single definition","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","44","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Create a new report","41","Create Report","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","40","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","69","verify OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","39","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","41","Update user - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","41","Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","38","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","passed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","38","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","42","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","42","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","49","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","39","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","39","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","38","Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","58","Fetch user by ID - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","35","Get roles - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","40","Get all permissions","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","40","Update organization details by ID - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:35 GMT 2025","failed","Tue May 27 14:03:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","No Auth - Get all Issues","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a paginated list of reports with optional filtering","40","Get Reports - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","42","Update profile - Invalid file size","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","40","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","52","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","40","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","Create organization - empty city value","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","41","Get Reports","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","40","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","38","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","Update profile - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","No auth - category by id","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","38","Update user - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","40","Create Report - Duplicate name","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","97","Forgot password - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","failed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Get all definitions","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","38","Health","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Health","Bank Admin","",""
"","43","Update profile - no phone number","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","39","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","audit trail - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","40","Fetch all users","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","41","Create organization - empty description","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","42","Delete Report","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","38","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","40","No auth - Update role status","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","76","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","Get events - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","39","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","41","Update profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","42","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","42","Update user - invalid action","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","41","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","39","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","passed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","passed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","42","No Auth - Change password","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","130","Invalid credentials","QA|Nova Bank - Infopool","Tue May 27 14:03:21 GMT 2025","passed","Tue May 27 14:03:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Delete a report (soft delete)","38","Delete Report -No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","40","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","40","Get Report Objects - Question","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","41","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get a specific report by ID","39","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","8","New Request","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","broken","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","40","Export Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","passed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","92","verifyOTP","QA|Nova Bank - Infopool","Tue May 27 14:03:27 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
