"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","No Auth - Get all Issues","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","passed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","128","Forgot password - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:55 GMT 2025","failed","Tue May 27 23:41:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get a specific report by ID","81","Get Report by UUID","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","83","Get all Issues","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","failed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a paginated list of reports with optional filtering","81","Get Reports Stats","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","failed","Tue May 27 23:42:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","81","No auth - get user role","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","failed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Create a new report","85","Create Report - Empty category","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","81","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","failed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","No auth - category by id","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","83","Empty new password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","No auth - Update role status","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","passed","Tue May 27 23:42:27 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","84","Empty current password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","81","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","82","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","failed","Tue May 27 23:42:11 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","81","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","passed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Update an existing report","78","Update Report","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","passed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","83","audit trail - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","79","Logout session - no session","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Logout","Bank Admin","",""
"","108","resend_invitation_toUser","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","83","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","passed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","79","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","failed","Tue May 27 23:42:14 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3193","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:20 GMT 2025","failed","Tue May 27 23:42:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","passed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Create organization - empty street value","QA|Nova Bank - Infopool","Tue May 27 23:42:23 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","85","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","84","Update profile - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Delete a report (soft delete)","81","Delete Report","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","651","Successful login","QA|Nova Bank - Infopool","Tue May 27 23:41:48 GMT 2025","passed","Tue May 27 23:41:49 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Weak password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","80","No auth - managers","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","80","Get events - invalid start date","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","81","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","failed","Tue May 27 23:42:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","82","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3185","Create organization - name already exists","QA|Nova Bank - Infopool","Tue May 27 23:42:17 GMT 2025","passed","Tue May 27 23:42:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Update an existing report","82","Update Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","95","Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","80","Create roles - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","81","Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:42:09 GMT 2025","failed","Tue May 27 23:42:09 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","81","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","79","Get role by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","passed","Tue May 27 23:42:27 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","83","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","84","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","passed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","99","Create organization - no name","QA|Nova Bank - Infopool","Tue May 27 23:42:17 GMT 2025","passed","Tue May 27 23:42:17 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","No Auth - Change password","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","passed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","84","Update profile - no phone number","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","Create organization - no country ID","QA|Nova Bank - Infopool","Tue May 27 23:42:23 GMT 2025","failed","Tue May 27 23:42:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","failed","Tue May 27 23:42:17 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 23:42:09 GMT 2025","passed","Tue May 27 23:42:09 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","114","verify OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","79","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Tue May 27 23:42:31 GMT 2025","failed","Tue May 27 23:42:31 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","80","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","failed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","82","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:42:09 GMT 2025","failed","Tue May 27 23:42:09 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","115","Update definition","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","139","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue May 27 23:42:13 GMT 2025","passed","Tue May 27 23:42:13 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","83","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Update user - empty action field","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","failed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","81","Update role status","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","90","No user credentials","QA|Nova Bank - Infopool","Tue May 27 23:41:55 GMT 2025","passed","Tue May 27 23:41:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Update an existing report","83","Update Report - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","passed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","98","Logout session successfully","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Logout","Bank Admin","",""
"","81","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","85","Send user invitation token - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 23:42:13 GMT 2025","failed","Tue May 27 23:42:14 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","82","Update profile - no auth","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","passed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","228","category by id","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","99","Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","101","Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:42:03 GMT 2025","failed","Tue May 27 23:42:03 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","82","Create organization - empty description","QA|Nova Bank - Infopool","Tue May 27 23:42:20 GMT 2025","failed","Tue May 27 23:42:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:42:09 GMT 2025","failed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","78","No Auth - Get all definitions","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","passed","Tue May 27 23:42:14 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","99","Empty fields - Update definition","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","81","Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","80","Export Report Data","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","311","No auth - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","passed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","Get roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get a paginated list of reports with optional filtering","83","Get Report Objects - Question","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","84","Update profile - Invalid file size","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:23 GMT 2025","failed","Tue May 27 23:42:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","Create organization - empty mis code","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:23 GMT 2025","failed","Tue May 27 23:42:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get profile - successfully","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","3179","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:42:03 GMT 2025","passed","Tue May 27 23:42:06 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","79","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","passed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","80","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","1112","Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:00 GMT 2025","passed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","196","Get events - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","passed","Tue May 27 23:41:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","80","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","passed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","77","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
